"student","semester","section","intro","categorical","quantitative","distributions","normality","scatterplots","regression","randomness","surveys","experiments","probability","proportions","ci_proportions","hyp_proportions","sampling","inference_means","more_intervals","compare_groups","average_score","intro_HANDIN","categorical_HANDIN","quantitative_HANDIN","distributions_HANDIN","normality_HANDIN","scatterplots_HANDIN","regression_HANDIN","randomness_HANDIN","surveys_HANDIN","experiments_HANDIN","probability_HANDIN","proportions_HANDIN","ci_proportions_HANDIN","hyp_proportions_HANDIN","sampling_HANDIN","inference_means_HANDIN","more_intervals_HANDIN","compare_groups_HANDIN"
"AB13f0195","13Fall","13Fall_6",100,87.0967741935484,90.625,83.3333333333333,80.7692307692308,100,92.8571428571429,90.9090909090909,90.4761904761905,93.9393939393939,0,82.8571428571429,95.6521739130435,96.1538461538462,55.7142857142857,94.8717948717949,100,95.8333333333333,90.0640431365516,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100
"AB13f0026","13Fall","13Fall_6",97.1428571428571,96.7741935483871,71.875,94.4444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.0591237839222,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AB13f0066","13Fall","13Fall_6",100,100,62.5,94.4444444444444,92.3076923076923,61.1111111111111,85.7142857142857,0,100,100,100,85.7142857142857,95.6521739130435,88.4615384615385,0,92.3076923076923,0,91.6666666666667,89.991992709384,100,100,100,100,100,100,100,0,100,100,100,100,100,100,0,100,0,100
"AB13f0189","13Fall","13Fall_6",100,93.5483870967742,75,88.8888888888889,100,94.4444444444444,82.8571428571429,100,92.8571428571429,84.8484848484848,100,85.7142857142857,91.304347826087,92.3076923076923,85.7142857142857,69.2307692307692,92.8571428571429,87.5,89.8373897023967,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"AB13f0072","13Fall","13Fall_6",85.7142857142857,100,75,100,100,88.8888888888889,85.7142857142857,0,0,87.8787878787879,100,71.4285714285714,69.5652173913043,88.4615384615385,100,92.3076923076923,100,91.6666666666667,89.7891209032513,100,100,100,100,100,100,100,0,0,100,100,100,100,100,100,100,100,100
"AB13f0211","13Fall","13Fall_6",100,100,93.75,88.8888888888889,84.6153846153846,100,94.2857142857143,100,92.8571428571429,87.8787878787879,100,94.2857142857143,86.9565217391304,92.3076923076923,0,97.4358974358974,100,95.8333333333333,89.3941709793159,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"AB13f0180","13Fall","13Fall_6",100,93.5483870967742,84.375,88.8888888888889,88.4615384615385,94.4444444444444,88.5714285714286,100,97.6190476190476,81.8181818181818,100,68.5714285714286,82.6086956521739,0,0,82.051282051282,0,0,89.3541659410849,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,100,0,0
"AB13f0239","13Fall","13Fall_6",82.8571428571429,87.0967741935484,84.375,92.2222222222222,84.6153846153846,94.4444444444444,57.1428571428571,100,92.8571428571429,90.9090909090909,100,80,91.304347826087,96.1538461538462,100,89.7435897435898,100,79.1666666666667,89.0493616462235,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"AB13f0067","13Fall","13Fall_6",100,83.8709677419355,84.375,83.3333333333333,100,94.4444444444444,75,0,88.0952380952381,87.8787878787879,100,65.7142857142857,82.6086956521739,92.3076923076923,87.1428571428571,92.3076923076923,100,0,88.5674371636525,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,0
"AB13f0197","13Fall","13Fall_6",100,87.0967741935484,68.75,70.7388888888889,76.9230769230769,88.8888888888889,81.4285714285714,100,97.6190476190476,96.969696969697,87.5,80,91.304347826087,80.7692307692308,88.5714285714286,92.3076923076923,100,100,88.2704246881199,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"AB13f0024","13Fall","13Fall_6",100,96.7741935483871,78.125,77.7777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.1692428315412,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AB13f0208","13Fall","13Fall_6",0,87.0967741935484,81.25,83.3333333333333,88.4615384615385,94.4444444444444,87.1428571428571,72.7272727272727,97.6190476190476,90.9090909090909,87.5,80,91.304347826087,100,87.1428571428571,89.7435897435898,100,79.1666666666667,88.1083423653137,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"AB13f0217","13Fall","13Fall_6",91.4285714285714,93.5483870967742,81.25,77.7777777777778,100,100,45,90.9090909090909,97.6190476190476,93.9393939393939,100,82.8571428571429,86.9565217391304,65.3846153846154,87.1428571428571,97.4358974358974,100,91.6666666666667,87.9397761109425,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"AB13f0224","13Fall","13Fall_6",97.1428571428571,93.5483870967742,71.875,83.3333333333333,80.7692307692308,88.8888888888889,70,90.9090909090909,0,96.969696969697,100,94.2857142857143,100,80.7692307692308,84.2857142857143,94.8717948717949,78.5714285714286,87.5,87.8659039937503,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100
"AB13f0183","13Fall","13Fall_6",91.4285714285714,74.1935483870968,78.125,83.3333333333333,76.9230769230769,100,57.8571428571429,100,92.8571428571429,90.9090909090909,100,100,100,73.0769230769231,85.7142857142857,92.3076923076923,100,83.3333333333333,87.7810633959828,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"AB13f0079","13Fall","13Fall_6",97.1428571428571,93.5483870967742,75,77.7777777777778,88.4615384615385,83.3333333333333,82.1428571428571,0,97.6190476190476,90.9090909090909,100,74.2857142857143,91.304347826087,96.1538461538462,74.2857142857143,94.8717948717949,78.5714285714286,95.8333333333333,87.7200628712468,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100
"AB13f0214","13Fall","13Fall_6",100,96.7741935483871,81.25,77.7777777777778,88.4615384615385,83.3333333333333,73.5714285714286,90.9090909090909,90.4761904761905,81.8181818181818,100,77.1428571428572,82.6086956521739,96.1538461538462,77.1428571428572,94.8717948717949,92.8571428571429,91.6666666666667,87.6008664101815,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"AB13f0187","13Fall","13Fall_6",100,83.8709677419355,87.5,94.4444444444444,53.8461538461538,88.8888888888889,68.5714285714286,81.8181818181818,92.8571428571429,93.9393939393939,100,85.7142857142857,91.304347826087,76.9230769230769,91.4285714285714,94.8717948717949,92.8571428571429,91.6666666666667,87.2501382441775,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"AB13f0207","13Fall","13Fall_6",97.1428571428571,100,65.625,77.7777777777778,38.4615384615385,100,80,100,95.2380952380952,93.9393939393939,100,85.7142857142857,100,84.6153846153846,80,79.4871794871795,100,91.6666666666667,87.2037877246211,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"AB13f0227","13Fall","13Fall_6",94.2857142857143,87.0967741935484,84.375,83.3333333333333,76.9230769230769,94.4444444444444,94.2857142857143,90.9090909090909,100,90.9090909090909,87.5,45.7142857142857,86.9565217391304,76.9230769230769,88.5714285714286,100,92.8571428571429,79.1666666666667,86.3472978753192,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"AB13f0213","13Fall","13Fall_6",100,87.0967741935484,71.875,81.1111111111111,73.0769230769231,94.4444444444444,57.1428571428571,100,92.8571428571429,100,100,77.1428571428572,100,96.1538461538462,65.7142857142857,89.7435897435898,100,66.6666666666667,86.2791943470707,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"AB13f0193","13Fall","13Fall_6",91.4285714285714,80.6451612903226,84.375,88.8888888888889,96.1538461538462,86.1111111111111,65,81.8181818181818,0,90.9090909090909,87.5,82.8571428571429,86.9565217391304,92.3076923076923,80,92.3076923076923,85.7142857142857,87.5,85.9101874427033,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100
"AB13f0084","13Fall","13Fall_6",100,96.7741935483871,81.25,75,80.7692307692308,88.8888888888889,73.5714285714286,0,83.3333333333333,87.8787878787879,100,88.5714285714286,86.9565217391304,73.0769230769231,70,92.3076923076923,100,79.1666666666667,85.7379467854057,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100
"AB13f0232","13Fall","13Fall_6",100,80.6451612903226,81.25,88.8888888888889,69.2307692307692,83.3333333333333,92.8571428571429,81.8181818181818,83.3333333333333,87.8787878787879,87.5,80,86.9565217391304,84.6153846153846,87.1428571428571,92.3076923076923,85.7142857142857,87.5,85.6095744527839,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"AB13f0027","13Fall","13Fall_6",91.4285714285714,80.6451612903226,81.25,88.8888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.5531554019457,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AB13f0080","13Fall","13Fall_6",88.5714285714286,100,75,80.5555555555556,88.4615384615385,100,86.4285714285714,0,88.0952380952381,93.9393939393939,87.5,68.5714285714286,95.6521739130435,61.5384615384615,61.4285714285714,84.6153846153846,100,87.5,85.1681027128597,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100
"AB13f0215","13Fall","13Fall_6",0,83.8709677419355,78.125,72.2222222222222,96.1538461538462,83.3333333333333,88.5714285714286,72.7272727272727,0,96.969696969697,100,80,86.9565217391304,80.7692307692308,0,82.051282051282,100,75,85.1167201519586,0,100,100,100,100,100,100,100,0,100,100,100,100,100,0,100,100,100
"AB13f0240","13Fall","13Fall_6",100,93.5483870967742,78.125,94.4444444444444,88.4615384615385,88.8888888888889,67.8571428571429,90.9090909090909,80.9523809523809,81.8181818181818,75,85.7142857142857,91.304347826087,88.4615384615385,80,79.4871794871795,85.7142857142857,79.1666666666667,84.9918532943603,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"AB13f0082","13Fall","13Fall_6",91.4285714285714,80.6451612903226,81.25,61.1111111111111,80.7692307692308,77.7777777777778,76.4285714285714,0,95.2380952380952,100,75,68.5714285714286,100,96.1538461538462,85.7142857142857,84.6153846153846,100,83.3333333333333,84.5903998489387,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100
"AB13f0064","13Fall","13Fall_6",100,87.0967741935484,81.25,72.2222222222222,96.1538461538462,88.8888888888889,71.4285714285714,0,97.6190476190476,72.7272727272727,100,74.2857142857143,91.304347826087,73.0769230769231,71.4285714285714,74.3589743589744,92.8571428571429,87.5,84.2469586509888,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100
"AB13f0186","13Fall","13Fall_6",88.5714285714286,90.3225806451613,81.25,64.8166666666667,42.3076923076923,88.8888888888889,85,100,95.2380952380952,0,0,60,100,92.3076923076923,80,87.1794871794872,85.7142857142857,95.8333333333333,83.5893844282957,100,100,100,100,100,100,100,100,100,0,0,100,100,100,100,100,100,100
"AB13f0237","13Fall","13Fall_6",91.4285714285714,90.3225806451613,46.875,0,84.6153846153846,83.3333333333333,77.8571428571429,90.9090909090909,88.0952380952381,93.9393939393939,100,68.5714285714286,73.9130434782609,88.4615384615385,80,82.051282051282,100,75,83.2572369638721,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"AB13f0202","13Fall","13Fall_6",100,87.0967741935484,78.125,67.2222222222222,0,72.2222222222222,67.8571428571429,90.9090909090909,90.4761904761905,81.8181818181818,87.5,77.1428571428572,95.6521739130435,88.4615384615385,68.5714285714286,0,85.7142857142857,87.5,82.8918192813595,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,0,100,100
"AB13f0073","13Fall","13Fall_6",91.4285714285714,93.5483870967742,62.5,0,0,94.4444444444444,64.2857142857143,0,0,90.9090909090909,100,60,60.8695652173913,0,0,89.7435897435898,0,95.8333333333333,82.1420633144463,100,100,100,0,0,100,100,0,0,100,100,100,100,0,0,100,0,100
"AB13f0022","13Fall","13Fall_6",100,96.7741935483871,56.25,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.0060483870968,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AB13f0218","13Fall","13Fall_6",100,83.8709677419355,68.75,83.3333333333333,80.7692307692308,80.5555555555556,76.4285714285714,81.8181818181818,83.3333333333333,87.8787878787879,100,48.5714285714286,95.6521739130435,65.3846153846154,87.1428571428571,79.4871794871795,85.7142857142857,83.3333333333333,81.7791019669818,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"AB13f0077","13Fall","13Fall_6",97.1428571428571,96.7741935483871,81.25,86.1111111111111,88.4615384615385,83.3333333333333,71.4285714285714,0,88.0952380952381,69.6969696969697,87.5,80,91.304347826087,57.6923076923077,71.4285714285714,76.9230769230769,0,79.1666666666667,81.6442989596698,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,0,100
"AB13f0086","13Fall","13Fall_6",88.5714285714286,87.0967741935484,71.875,77.7777777777778,69.2307692307692,88.8888888888889,82.1428571428571,0,88.0952380952381,90.9090909090909,100,82.8571428571429,69.5652173913043,73.0769230769231,82.8571428571429,64.1025641025641,0,87.5,81.5341759434173,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,0,100
"AB13f0228","13Fall","13Fall_6",97.1428571428571,93.5483870967742,68.75,44.4444444444444,57.6923076923077,63.8888888888889,65,72.7272727272727,95.2380952380952,72.7272727272727,100,80,95.6521739130435,84.6153846153846,81.4285714285714,94.8717948717949,100,83.3333333333333,80.6144880066689,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"AB13f0212","13Fall","13Fall_6",97.1428571428571,0,90.625,72.2222222222222,61.5384615384615,63.8888888888889,72.1428571428571,90.9090909090909,90.4761904761905,90.9090909090909,87.5,65.7142857142857,86.9565217391304,61.5384615384615,72.8571428571428,66.6666666666667,100,87.5,79.9169257497263,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"AB13f0081","13Fall","13Fall_6",97.1428571428571,96.7741935483871,71.875,88.8888888888889,88.4615384615385,77.7777777777778,81.4285714285714,0,85.7142857142857,90.9090909090909,87.5,51.4285714285714,65.2173913043478,80.7692307692308,65.7142857142857,66.6666666666667,85.7142857142857,75,79.8225079687521,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100
"AB13f0074","13Fall","13Fall_6",100,96.7741935483871,50,88.8888888888889,76.9230769230769,72.2222222222222,72.1428571428571,0,66.6666666666667,93.9393939393939,87.5,82.8571428571429,65.2173913043478,92.3076923076923,82.8571428571429,84.6153846153846,71.4285714285714,66.6666666666667,79.4710171393201,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100
"AB13f0238","13Fall","13Fall_6",97.1428571428571,87.0967741935484,71.875,66.6666666666667,73.0769230769231,83.3333333333333,73.5714285714286,100,78.5714285714286,84.8484848484848,87.5,62.8571428571429,65.2173913043478,92.3076923076923,71.4285714285714,76.9230769230769,92.8571428571429,62.5,79.3207730045914,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"AB13f0182","13Fall","13Fall_6",94.2857142857143,93.5483870967742,53.125,67.7777777777778,76.9230769230769,88.8888888888889,74.2857142857143,63.6363636363636,92.8571428571429,93.9393939393939,62.5,71.4285714285714,95.6521739130435,76.9230769230769,65.7142857142857,94.8717948717949,85.7142857142857,62.5,78.5873137919947,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"AB13f0199","13Fall","13Fall_6",100,80.6451612903226,62.5,60,80.7692307692308,80.5555555555556,85,100,83.3333333333333,78.7878787878788,87.5,60,73.9130434782609,76.9230769230769,0,87.1794871794872,71.4285714285714,62.5,78.2961963968069,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100
"AB13f0242","13Fall","13Fall_6",100,87.0967741935484,78.125,0,0,83.3333333333333,82.1428571428571,100,0,66.6666666666667,100,65.7142857142857,52.1739130434783,80.7692307692308,60,58.974358974359,0,0,78.0766476798276,100,100,100,0,0,100,100,100,0,100,100,100,100,100,100,100,0,0
"AB13f0190","13Fall","13Fall_6",62.8571428571429,83.8709677419355,87.5,0,0,0,0,36.3636363636364,0,87.8787878787879,87.5,82.8571428571429,95.6521739130435,0,0,0,0,0,78.0599814514611,100,100,100,0,0,0,0,100,0,100,100,100,100,0,0,0,0,0
"AB13f0078","13Fall","13Fall_6",88.5714285714286,74.1935483870968,62.5,72.2222222222222,53.8461538461538,72.2222222222222,80.7142857142857,0,85.7142857142857,81.8181818181818,100,62.8571428571429,82.6086956521739,84.6153846153846,54.2857142857143,84.6153846153846,100,83.3333333333333,77.8892931679418,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100
"AB13f0226","13Fall","13Fall_6",100,93.5483870967742,65.625,83.3333333333333,38.4615384615385,66.6666666666667,67.8571428571429,81.8181818181818,57.1428571428571,90.9090909090909,100,68.5714285714286,82.6086956521739,76.9230769230769,82.8571428571429,79.4871794871795,100,58.3333333333333,77.4523919505511,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"AB13f0181","13Fall","13Fall_6",91.4285714285714,83.8709677419355,59.375,0,69.2307692307692,94.4444444444444,79.2857142857143,90.9090909090909,73.8095238095238,84.8484848484848,62.5,51.4285714285714,82.6086956521739,73.0769230769231,0,87.1794871794872,71.4285714285714,83.3333333333333,77.4223842998497,100,100,100,0,100,100,100,100,100,100,100,100,100,100,0,100,100,100
"AB13f0219","13Fall","13Fall_6",85.7142857142857,87.0967741935484,78.125,70.3722222222222,61.5384615384615,61.1111111111111,0,100,0,84.8484848484848,100,71.4285714285714,91.304347826087,84.6153846153846,85.7142857142857,58.974358974359,64.2857142857143,45.8333333333333,76.9351459878656,100,100,100,100,100,100,0,100,0,100,100,100,100,100,100,100,100,100
"AB13f0025","13Fall","13Fall_6",100,93.5483870967742,56.25,55.5555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.3384856630824,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AB13f0204","13Fall","13Fall_6",94.2857142857143,80.6451612903226,40.625,85.1833333333333,80.7692307692308,80.5555555555556,70.7142857142857,72.7272727272727,92.8571428571429,0,100,42.8571428571429,78.2608695652174,80.7692307692308,68.5714285714286,82.051282051282,85.7142857142857,58.3333333333333,76.171780552634,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100
"AB13f0085","13Fall","13Fall_6",88.5714285714286,90.3225806451613,78.125,77.7777777777778,73.0769230769231,88.8888888888889,77.1428571428572,0,97.6190476190476,60.6060606060606,100,68.5714285714286,73.9130434782609,57.6923076923077,60,61.5384615384615,78.5714285714286,62.5,76.1716020105901,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100
"AB13f0231","13Fall","13Fall_6",100,100,84.375,94.4444444444444,50,48.6111111111111,77.8571428571429,63.6363636363636,90.4761904761905,87.8787878787879,75,48.5714285714286,82.6086956521739,61.5384615384615,61.4285714285714,64.1025641025641,100,79.1666666666667,76.0941904646615,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
