Username,Section,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T15,T16,T17,T18,T19,T20,T21,T22,T23,AvgCrtPct
20114s0129,6,100,100,91.4285714285714,80,83.3333333333333,83.3333333333333,80,70,95,96.4285714285714,71.4285714285714,74.2857142857143,NA,63.3333333333333,85,52,57.1428571428571,72.7272727272727,84.6153846153846,78.5714285714286,79.9278090330722
20114s0060,6,91.4285714285714,90,82.8571428571429,85,80.5555555555556,86.6666666666667,NA,66.6666666666667,NA,67.8571428571429,78.5714285714286,NA,82.6086956521739,63.3333333333333,75,NA,NA,NA,NA,NA,79.2121002990568
20114s0131,6,88.5714285714286,95,80,60,77.7777777777778,76.6666666666667,96,63.3333333333333,97.5,86.9035714285714,92.8571428571429,54.2857142857143,86.9565217391304,96.6666666666667,60,92,85.7142857142857,45.4545454545455,76.9230769230769,71.4285714285714,79.2019651423456
20114s0141,6,94.2857142857143,90,82.8571428571429,80,80.5555555555556,100,92,76.6666666666667,87.5,82.1428571428571,78.5714285714286,57.1428571428571,65.2173913043478,76.6666666666667,70,96,73.8071428571429,36.3636363636364,84.6153846153846,71.4285714285714,78.7910507728986
20114s0146,6,97.1428571428571,100,74.2857142857143,75,83.3333333333333,83.3333333333333,72,53.3333333333333,77.5,NA,100,28.5714285714286,86.9565217391304,86.6666666666667,NA,NA,NA,NA,NA,71.4285714285714,77.8251257024549
20114s0140,6,97.1428571428571,100,91.4285714285714,80,79.6277777777778,50,88,46.6666666666667,97.5,85.7142857142857,85.7142857142857,57.1428571428571,78.2608695652174,66.6666666666667,65,84,85.7142857142857,45.4545454545455,76.9230769230769,64.2857142857143,76.2621230098404
20114s0068,6,100,NA,68.5714285714286,NA,NA,NA,NA,76.6666666666667,NA,NA,66.6666666666667,NA,NA,NA,NA,76,57.1428571428571,NA,NA,NA,74.1746031746032
20114s0142,6,100,80,68.5714285714286,70,61.1111111111111,53.3333333333333,60,40,85,54.7607142857143,64.2857142857143,65.7142857142857,95.6521739130435,46.6666666666667,47.5,84,52.3785714285714,72.7272727272727,76.9230769230769,71.4285714285714,67.5026460194395
20114s0147,6,94.2857142857143,85,88.5714285714286,75,83.3333333333333,63.3333333333333,76,NA,95,64.2857142857143,78.5714285714286,65.7142857142857,NA,56.6666666666667,62.5,84,42.8571428571429,36.3636363636364,53.8461538461538,0,66.9627132127132
20114s0130,6,88.5714285714286,95,68.5714285714286,60,72.2222222222222,80,76,33.3333333333333,72.5,67.8571428571429,100,48.5714285714286,39.1304347826087,36.6666666666667,47.5,80,28.5714285714286,9.09090909090909,69.2307692307692,64.2857142857143,61.855145337754
AB.14s0221,7,100,100,94.2857142857143,95,100,93.3333333333333,100,96.6666666666667,92.5,96.6666666666667,100,97.1428571428571,91.304347826087,96.6666666666667,95,96,100,90.9090909090909,100,85.7142857142857,96.0594814605684
AB.14s0184,7,100,100,97.1428571428571,95,94.4444444444444,86.6666666666667,100,93.3333333333333,95,96.6666666666667,92.8571428571429,97.1428571428571,95.6521739130435,96.6666666666667,95,92,92.8571428571429,90.9090909090909,100,78.5714285714286,94.495523558567
AB.14s0219,7,100,100,100,90,88.8888888888889,96.6666666666667,92,90,97.5,93.3333333333333,100,94.2857142857143,82.6086956521739,100,97.5,96,85.7142857142857,90.9090909090909,100,85.7142857142857,94.056048058222
AB.14s0203,7,97.1428571428571,100,88.5714285714286,100,94.4444444444444,90,88,70,100,96.6666666666667,92.8571428571429,88.5714285714286,95.6521739130435,83.3333333333333,85,100,100,90.9090909090909,100,85.7142857142857,92.3431426061861
AB.14s0228,7,97.1428571428571,100,91.4285714285714,90,88.8888888888889,96.6666666666667,96,83.3333333333333,97.5,100,92.8571428571429,88.5714285714286,95.6521739130435,100,85,96,92.8571428571429,63.6363636363636,92.3076923076923,92.8571428571429,92.0349702230137
AB.14s0237,7,100,100,85.7142857142857,100,83.3333333333333,96.6666666666667,96,90,100,90,100,91.4285714285714,95.6521739130435,90,75,92,92.8571428571429,90.9090909090909,92.3076923076923,78.5714285714286,92.0220192850628
AB.14s0004,7,100,100,68.5714285714286,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.8928571428571
AB.14s0178,7,82.8571428571429,90,94.2857142857143,95,72.2222222222222,93.3333333333333,96,80,97.5,93.3333333333333,100,85.7142857142857,78.2608695652174,100,77.5,96,92.8571428571429,90.9090909090909,100,85.7142857142857,90.0743710395884
AB.14s0166,7,100,80,77.1428571428572,100,77.7777777777778,83.3333333333333,92,80,100,83.3333333333333,92.8571428571429,80,91.304347826087,100,75,96,85.7142857142857,90.9090909090909,100,92.8571428571429,88.9114655875525
AB.14s0238,7,97.1428571428571,90,88.5714285714286,100,72.2222222222222,80,92,83.3333333333333,97.5,96.6666666666667,57.1428571428571,82.8571428571429,95.6521739130435,90,70,96,92.8571428571429,100,92.3076923076923,100,88.7126758507193
AB.14s0167,7,94.2857142857143,100,80,95,83.3333333333333,90,92,66.6666666666667,87.5,86.6666666666667,92.8571428571429,85.7142857142857,91.304347826087,93.3333333333333,90,88,76.1928571428571,81.8181818181818,92.3076923076923,92.8571428571429,87.9918682404552
AB.14s0183,7,100,95,88.5714285714286,90,83.3333333333333,100,92,70,95,73.3333333333333,92.8571428571429,85.7142857142857,78.2608695652174,NA,87.5,96,100,54.5454545454545,100,85.7142857142857,87.7805333491832
AB.14s0207,7,100,90,88.5714285714286,95,77.7777777777778,96.6666666666667,84,86.6666666666667,90,90,100,71.4285714285714,91.304347826087,96.6666666666667,90,96,85.7142857142857,45.4545454545455,92.3076923076923,85.7142857142857,87.6636467397337
AB.14s0169,7,91.4285714285714,80,91.4285714285714,95,88.8888888888889,83.3333333333333,80,83.3333333333333,92.5,93.3333333333333,92.8571428571429,82.8571428571429,91.304347826087,93.3333333333333,75,84,78.5714285714286,90.9090909090909,100,71.4285714285714,86.9753544764414
AB.14s0205,7,97.1428571428571,95,82.8571428571429,85,85.1833333333333,66.6666666666667,96,86.6666666666667,90,96.6666666666667,92.8571428571429,80,82.6086956521739,90,75,92,100,81.8181818181818,84.6153846153846,71.4285714285714,86.5755654852394
AB.14s0212,7,100,95,88.5714285714286,90,83.3333333333333,83.3333333333333,92,80,100,76.6666666666667,85.7142857142857,80,86.9565217391304,96.6666666666667,67.5,100,92.8571428571429,63.6363636363636,92.3076923076923,71.4285714285714,86.2986003127307
AB.14s0199,7,91.4285714285714,95,74.2857142857143,95,83.3333333333333,90,80,93.3333333333333,90,83.3333333333333,100,74.2857142857143,78.2608695652174,90,67.5,92,100,90.9090909090909,92.3076923076923,64.2857142857143,86.2631683533857
AB.14s0179,7,100,100,77.1428571428572,85,88.8888888888889,83.3333333333333,80,80,90,86.6666666666667,100,77.1428571428572,78.2608695652174,100,67.5,96,78.5714285714286,81.8181818181818,92.3076923076923,78.5714285714286,86.0602102004276
AB.14s0233,7,82.8571428571429,100,77.1428571428572,90,94.4444444444444,83.3333333333333,88,86.6666666666667,97.5,86.6666666666667,100,80,82.6086956521739,86.6666666666667,92.5,80,64.2857142857143,90.9090909090909,84.6153846153846,71.4285714285714,85.9812617334356
AB.14s0220,7,100,90,82.8571428571429,90,66.6666666666667,96.6666666666667,92,86.6666666666667,92.5,80,78.5714285714286,62.8571428571429,91.304347826087,76.6666666666667,97.5,72,78.5714285714286,100,84.6153846153846,85.7142857142857,85.2578913839783
AB.14s0195,7,100,NA,82.8571428571429,NA,88.8888888888889,93.3333333333333,92,70,95,96.6666666666667,85.7142857142857,88.5714285714286,91.304347826087,93.3333333333333,77.5,88,92.8571428571429,54.5454545454545,92.3076923076923,50,85.1599842723031
AB.14s0069,7,100,95,85.7142857142857,95,85.1833333333333,83.3333333333333,92,70,87.5,83.3333333333333,92.8571428571429,91.4285714285714,82.6086956521739,50,92.5,88,71.4285714285714,NA,NA,NA,85.0521921812203
AB.14s0087,7,100,85,77.1428571428572,85,88.8888888888889,86.6666666666667,84,80,90,70,64.2857142857143,77.1428571428572,86.9565217391304,93.3333333333333,95,90,92.8571428571429,90.9090909090909,76.9230769230769,NA,84.9529552573031
AB.14s0213,7,100,90,68.5714285714286,90,77.7777777777778,73.3333333333333,60,80,95,93.3333333333333,100,71.4285714285714,86.9565217391304,93.3333333333333,72.5,88,78.5714285714286,90.9090909090909,100,85.7142857142857,84.7714552355857
AB.14s0235,7,100,100,77.1428571428572,95,83.3333333333333,70,88,60,95,86.6666666666667,71.4285714285714,68.5714285714286,86.9565217391304,83.3333333333333,97.5,84,92.8571428571429,90.9090909090909,92.3076923076923,71.4285714285714,84.7217604858909
AB.14s0186,7,100,85,74.2857142857143,90,77.7777777777778,86.6666666666667,92,70,92.5,83.3333333333333,100,71.4285714285714,82.6086956521739,96.6666666666667,90,90,78.5714285714286,54.5454545454545,92.3076923076923,85.7142857142857,84.6703143474883
AB.14s0181,7,100,95,85.7142857142857,95,94.4444444444444,96.6666666666667,88,76.6666666666667,100,80,92.8571428571429,82.8571428571429,73.9130434782609,73.3333333333333,67.5,88,71.4285714285714,72.7272727272727,92.3076923076923,64.2857142857143,84.5350988383597
AB.14s0005,7,88.5714285714286,85,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.5238095238095
